,PMT_SITE,PMT_SITE_other,Active_date,Inactive_date
0,150000727090POS,['150000727090CAF'],01/01/2020,07/07/2020
1,150000733040POS,['150000733040CAF'],01/01/2020,07/07/2020
2,1500015DRYERFP,"['1500015DRTG', '1500015DRTG2']",06/07/2020,31/12/2020
3,1500015HILLFP2,['1500015SG1W'],06/07/2020,31/12/2020
4,1500015OLDLINSP,['1500015OLDINFC'],01/01/2020,06/07/2020
5,1500015PECK1SP1,['1500015PECK1TM'],13/12/2020,31/12/2020
6,1500015PECK2SP1,['1500015PECK1TM'],13/12/2020,31/12/2020
7,1500015PECK3SP,['1500015PECK3FC'],01/01/2020,06/07/2020
8,1500015SC10B1SP,['1500015SC10B1FC'],01/01/2020,06/07/2020
9,1500015SC10B3SP,['1500015SC10B3FC'],01/01/2020,06/07/2020
10,1500015SC10B4SP,['1500015SC10B4FC'],01/01/2020,06/07/2020
11,1500015SKONSP,['1500015SCONEFC'],01/01/2020,28/07/2020
12,1500015SWC1B1SP,['1500015SEC1B1FC'],01/01/2020,06/07/2020
13,1500027CLARE2,['1500027CLARE'],07/07/2020,31/12/2020
14,1500027STOLL,['150524511M58'],01/01/2020,20/01/2020
15,1500027SUNSET,['1500178KRG03P'],01/01/2020,19/08/2020
16,15000321200,['15000321200A'],01/01/2020,06/10/2020
17,15000321200A,['15000321200'],06/10/2020,31/12/2020
18,15000321300A,"['15000321300', '15000321300B']",06/10/2020,09/10/2020
19,15000321300B,"['15000321300', '15000321300A']",09/10/2020,31/12/2020
20,15000321401,['15000321401A'],01/01/2020,24/02/2021
21,150003225A,['150003225'],06/10/2020,31/12/2020
22,1500032401A,"['1500032401', '1500032401B']",06/10/2020,09/10/2020
23,1500032401B,"['1500032401', '1500032401A']",09/10/2020,31/12/2020
24,1500032402,['1500032402A'],01/01/2020,05/06/2020
25,1500032405A,"['1500032405', '1500032405B']",06/10/2020,09/10/2020
26,1500032405B,"['1500032405', '1500032405A']",09/10/2020,31/12/2020
27,1500032415,"['1500032405A', '1500032405B']",01/01/2020,06/10/2020
28,1500032805,['1500032805A'],01/01/2020,05/06/2020
29,1500032815A,"['1500032805', '1500032805A', '1500032815B']",06/10/2020,09/10/2020
30,1500032815B,"['1500032805', '1500032805A', '1500032815A']",09/10/2020,31/12/2020
31,1500032830,['1500032830A'],01/01/2020,06/10/2020
32,1500032830A,['1500032830'],06/10/2020,31/12/2020
33,1500032915,"['1500032915A', '1500032915AA']",01/01/2020,06/10/2020
34,1500032915A,"['1500032915', '1500032915AA']",06/10/2020,21/10/2020
35,1500032915AA,"['1500032915', '1500032915A']",21/10/2020,31/12/2020
36,1500032950,"['1500032950A', '1500032950B']",01/01/2020,06/10/2020
37,1500032950A,"['1500032950', '1500032950B']",06/10/2020,09/10/2020
38,1500032950B,"['1500032950', '1500032950A']",09/10/2020,31/12/2020
39,15005301PO,['15005301FCA'],01/01/2020,23/06/2020
40,15005302PO,['15005302FCA'],01/01/2020,23/06/2020
41,1500553132A,['1500553132E'],01/01/2020,25/06/2020
42,1500553162,['1500553162A'],01/01/2020,17/11/2020
43,1500553162A,['1500553162'],17/11/2020,31/12/2020
44,1500553163,['1500553163A'],01/01/2020,17/11/2020
45,1500553163A,['1500553163'],17/11/2020,31/12/2020
46,1500553163P1,['1500553163B'],01/01/2020,17/11/2020
47,1500553164P,['1500553163P1'],17/11/2020,31/12/2020
48,1500553164PA,['1500553164D'],01/01/2020,25/06/2020
49,1500553171,['1500553171A'],01/01/2020,25/06/2020
50,1500553201,['1500553201A'],17/11/2020,31/12/2020
51,1500555331P,['1500555331'],01/09/2020,31/12/2020
52,1500555332,['1500555332WM'],01/01/2020,03/03/2020
53,150062910B1,['150062910B'],08/12/2020,31/12/2020
54,150062910C1,['150062910C'],08/12/2020,31/12/2020
55,150062915A,['150062915A1'],01/01/2020,19/06/2020
56,150062915B,['150062915B1'],01/01/2020,19/06/2020
57,150062915D,['150062915D1'],01/01/2020,17/07/2020
58,15006291A,['15006291A1'],01/01/2020,12/12/2019
59,15006293A1,['15006293A'],08/12/2020,31/12/2020
60,15006294A1,['15006294A'],08/12/2020,31/12/2020
61,15006294B,['15006294B1'],01/01/2020,01/07/2020
62,15006295B,['15006295B1'],01/01/2020,01/07/2020
63,15006296C,['15006296C1'],01/01/2020,19/06/2020
64,15006296D,['15006296D1'],01/01/2020,01/07/2020
65,15006297A1,['15006297A'],08/12/2020,31/12/2020
66,15006297C1,['15006297C'],08/12/2020,31/12/2020
67,1.50E+08,['15006297E'],08/12/2020,31/12/2020
68,15006297F1,['15006297F'],08/12/2020,31/12/2020
69,15006299A1,['15006299A'],08/12/2020,31/12/2020
70,15006299B,['15006299B1'],01/01/2020,01/07/2020
71,1500635APPLEP,['1500635APPLEC'],01/01/2020,10/06/2020
72,1500635BV113P,['1500635BV113C'],01/01/2020,10/06/2020
73,1500635BV133P,['1500635BV133C'],01/01/2020,10/06/2020
74,1500635BV144P,['1500635BV144C'],01/01/2020,10/06/2020
75,1500635DUDANP,['1500635DUDANW'],16/03/2020,31/12/2020
76,1500635DUDASP,['1500635DUDASC'],01/01/2020,10/06/2020
77,1500635FDLT35P,"['1500635FDLT3SP', '1500635FDLT75EC']",10/06/2020,31/12/2020
78,1500635FDLT3SP,"['1500635FDLT75EC', '1500635FDLT35P']",10/06/2020,10/06/2020
79,1500635FDLT75EP,['1500635FEED75EC'],01/01/2020,10/06/2020
80,1500635FDLT75WP,['1500635FDLT75WW'],03/12/2020,31/12/2020
81,1500635GRIMCP,['1500635GRIMCC'],16/03/2020,31/12/2020
82,1500635HAM35P,['1500635HAM35C'],01/01/2020,10/06/2020
83,1500635HAMEP,['1500635HAMEC'],03/12/2020,31/12/2020
84,1500635HAMWEP,['1500635HAMWEC'],16/03/2020,31/12/2020
85,1500635HAPPNP,['1500635HAPPNF'],03/12/2020,31/12/2020
86,1500635MTWP,['1500635MTWC'],16/03/2020,31/12/2020
87,1500635NCANALP,['1500635NCANALC'],01/01/2020,10/06/2020
88,1500635NLINP,['1500635NLINC'],01/01/2020,10/06/2020
89,1500635PEACH75P,['1500635PEACH75C'],01/01/2020,10/06/2020
90,1500635PECK1P,['1500635PECK1C'],01/01/2020,20/07/2020
91,1500635PECK5P,['1500635PECK5C'],03/12/2020,31/12/2020
92,1500635RIDIANWP,['1500635RIDIANWC'],01/01/2020,07/07/2020
93,1500635SAND1P,['1500635SAND1C'],01/01/2020,10/06/2020
94,1500635SAND2P,['1500635SAND2C'],01/01/2020,10/06/2020
95,1500635SAND4P,['1500635SAND4C'],16/03/2020,31/12/2020
96,1500635SAND7P,['1500635SAND7C'],01/01/2020,10/06/2020
97,1500635SAND8P,['1500635SAND8C'],01/01/2020,10/06/2020
98,1500635SANDW1P,['1500635SANDW1C'],01/01/2020,07/07/2020
99,1500635SANDW2P,['1500635SANDW2W'],16/03/2020,31/12/2020
100,1500635SANDW3P,['1500635SANDW3C'],01/01/2020,20/11/2020
101,1500635SANDW4P,['1500635SANDWMC'],01/01/2020,07/07/2020
102,1500635SHOPNP,['1500635SHOPNC'],16/03/2020,31/12/2020
103,1500635SLINP,"['1500635SLINC', '1500635SLINW']",03/12/2020,31/12/2020
104,1500635WERN1P,['1500635WERN1C'],01/01/2020,07/07/2020
105,1500635WN80P,['1500635WN80C'],01/01/2020,07/07/2020
106,1500635WS80P,['1500635WS80W'],01/01/2020,18/02/2020
107,15008241KPSP20,"['15008241KPSP19', '15008241CF20']",20/03/2020,08/07/2020
108,15008241PF20,['15008241UC20'],08/07/2020,31/12/2020
109,15008242PS20,['15008243CF20'],01/01/2020,08/07/2020
110,15008243KPSP20,"['15008243KPSP19', '15008242CF20']",20/03/2020,08/07/2020
111,1500915121P,"['1500915121', '1500915121C']",19/11/2020,31/12/2020
112,1500915123E,['1500915123EC'],01/01/2020,17/07/2020
113,1500915123WP,"['1500915123W', '1500915123WC']",19/11/2020,31/12/2020
114,1500915124E,['1500915124EC'],01/01/2020,17/07/2020
115,1501361071120JP,['1501361071121BA'],01/01/2020,18/12/2020
116,1501361071220JP,['1501361071221BA'],01/01/2020,18/12/2020
117,15022770121SP,"['150227702120SC', '15022770120SC']",30/10/2020,31/12/2020
118,15022770221SP,['15022770220SC'],30/10/2020,31/12/2020
119,15022770320SC,['15022770320FC'],01/01/2020,23/06/2020
120,15022770419FP,['15022770420FC'],01/01/2020,28/03/2020
121,15022770621SP,"['15022770619FC', '15022770620FC']",18/11/2020,31/12/2020
122,15022770721SP,"['15022770719FC', '15022770720FC']",18/11/2020,31/12/2020
123,15022770820SP,['15022770820FC'],01/01/2020,23/06/2020
124,15022770920SP,['15022770921SC'],01/01/2020,30/10/2020
125,15022771020SP,['15022771021SP'],01/01/2020,30/10/2020
126,15022771021SP,['15022771020SP'],30/10/2020,31/12/2020
127,1502277119FP,['1502277620FC'],01/01/2020,28/03/2020
128,1502277120FP,['1502277619FC'],28/03/2020,31/12/2020
129,15022772821SP,['1500178BLF15P'],18/11/2020,31/12/2020
130,15022772919FP,['15022772920FC'],01/01/2020,28/03/2020
131,15022774619FP,['15022774720FC'],01/01/2020,28/03/2020
132,15022774919FP,['15022774920FC'],01/01/2020,28/03/2020
133,15022776320FP,['15022776319FC'],28/03/2020,31/12/2020
134,15022776819FP,['15022776820FC'],01/01/2020,28/03/2020
135,1502300309PO,"['1502300309', '1502300309SP', '1502300309CA']",01/04/2020,29/04/2020
136,1502300312WPO,"['1502300312WFC', '1502300312WSP', '1502300312WGA']",01/04/2020,29/04/2020
137,1504213P3P,['1504213P3'],01/01/2020,31/12/2020
138,1504311203PO,['1504311203CA'],09/10/2020,31/12/2020
139,1504311205PO,['1504311205GA'],09/10/2020,31/12/2020
140,1504311207PO,['1504311207GA'],09/10/2020,31/12/2020
141,1504311208WPO,['1504311208WFCA'],01/01/2020,23/06/2020
142,1504311211PO,['1504311211FCA'],01/01/2020,23/06/2020
143,1504311212PO,['1504311212GA'],09/10/2020,31/12/2020
144,1504311216PO,"['1504311216CA', '1504311216SP', '1504311216GA']",01/04/2020,29/04/2020
145,150449844AC,['1504498ORAN80P'],01/01/2020,03/12/2020
146,1504498DUFFOWP,['150449835NO'],03/12/2020,31/12/2020
147,1504498ORAN80P,['150449844AC'],03/12/2020,31/12/2020
148,1504512STOCKWP,['1504512STOCKWCA'],26/02/2020,31/12/2020
149,15045481H,"['1505726SITE2', '1504285HERRING', '1504285HERRINGG']",09/03/2020,09/03/2020
150,1504548PM1,['15013353'],03/06/2020,31/12/2020
151,1504548PZ,"['1504548RP', '1504548PZFC']",27/01/2020,27/07/2020
152,1504548RP,"['15013355RC', '15045484C']",27/01/2020,27/01/2020
153,1504548SP1,"['1504285SANDRINI', '1504285SANDG']",08/03/2020,31/12/2020
