,PMT_SITE,PMT_SITE_other,Active_date,Inactive_date
154,1504548SP2,"['1504285SANDRINI', '1504285SANDG']",08/03/2020,31/12/2020
155,1504584W133,['1500178ORVIG07'],01/01/2020,02/06/2020
156,15046771PS20,['15046771KPS21'],01/01/2020,25/11/2020
157,15050597SEFP,['15050597SEP'],22/07/2020,31/12/2020
158,15050597SEP,['15050597SEFP'],01/01/2020,22/07/2020
159,15050597SWSP,['15050597SWFC'],01/01/2020,07/07/2020
160,1505059AGRO1SP,['1505059AGRO1FC'],01/01/2020,05/06/2020
161,1505059AGRO2FP,['1505059AGRO2C'],22/07/2020,31/12/2020
162,1505059AGRO3SP,['1505059AGRO3FC'],01/01/2020,05/06/2020
163,1505059AGRO4SP,['1505059AGRO4FC'],01/01/2020,22/06/2020
164,1505059AGRO5SP,['1505059AGRO5C'],10/02/2020,31/12/2020
165,1505059AGRO7P,['1505059AGRO7FC'],01/01/2020,07/07/2020
166,1505059BOCKSP,['1505059BOCKFC'],01/01/2020,22/07/2020
167,1505059BRIMSP,['1505059BRIMFC'],01/01/2020,07/07/2020
168,1505059CATNFP,['1505059CATTANI'],22/07/2020,31/12/2020
169,1505059CATTANI,['1505059CATNFP'],01/01/2020,22/07/2020
170,1505059CHARLSP,['1505059CHAREWG'],01/01/2020,16/10/2020
171,1505059COULTSP,"['1505059COULTERC', '1505059COULTFC']",04/03/2020,07/07/2020
172,1505059ENGLE,['1505059ENGLEFP'],01/01/2020,22/07/2020
173,1505059ENGLEFP,['1505059ENGLE'],22/07/2020,31/12/2020
174,1505059F50SP,['1505059F50CF'],04/03/2020,31/12/2020
175,1505059FOPPFP,['1505059FOPPC'],22/07/2020,31/12/2020
176,1505059FUG10SP,['1505059FUG10FC'],01/01/2020,07/07/2020
177,1505059FUG11SP,['1505059FUG11FC'],01/01/2020,07/07/2020
178,1505059FUG12SP,"['1505059FUG12CF', '1505059FUG12WG']",04/03/2020,16/10/2020
179,1505059FUG13SP,"['1505059FUG13CF', '1505059FUG13WG']",04/03/2020,16/10/2020
180,1505059FUG14SP,['1505059FUG14CF'],04/03/2020,31/12/2020
181,1505059FUG1SP,"['1505059FUGITT1C', '1505059FUG1WG']",04/03/2020,16/10/2020
182,1505059FUG2FP,['1505059FUGIT2FP'],22/07/2020,31/12/2020
183,1505059FUG6SP,['1505059FUG6FC'],01/01/2020,07/07/2020
184,1505059FUG7SP,['1505059FUG7FC'],01/01/2020,07/07/2020
185,1505059FUG8SP,['1505059FUG8FC'],01/01/2020,28/01/2021
186,1505059FUG9SP,['1505059FUG9FC'],01/01/2020,07/07/2020
187,1505059FUGIT2FP,['1505059FUG2FP'],01/01/2020,22/07/2020
188,1505059GILLE,['1500015GILLE1WT'],01/01/2020,11/02/2020
189,1505059GILLW,['1500015GILLE2WT'],01/01/2020,11/02/2020
190,1505059GIN,"['1505588RHB313B', '1505059GINFP']",17/02/2020,10/03/2021
191,1505059GINFP,"['1505588RHB313B', '1505059GIN']",17/02/2020,31/12/2020
192,1505059HERNDON,['1505059HERNFP'],01/01/2020,22/07/2020
193,1505059HERNFP,['1505059HERNDON'],22/07/2020,31/12/2020
194,1505059JAMESP,['1505059JAMESC'],28/01/2020,31/12/2020
195,1505059JENSEN,['1500015JENSENWT'],01/01/2020,11/02/2020
196,1505059KIMSP,['1505059KIMCF'],10/02/2020,31/12/2020
197,1505059LEN2SP,['1505059LEN2FC'],01/01/2020,22/07/2020
198,1505059MRCH12SP,['1505059MRCH12FC'],01/01/2020,26/06/2020
199,1505059NSABOSP,['1505059NSABOFC'],01/01/2020,07/07/2020
200,1505059PALLA2FP,"['1504213P2', '1504213P2CAR']",29/12/2020,29/12/2020
201,1505059PALLA4FP,['1504213P4'],01/01/2020,31/12/2020
202,1505059PALLAFP,"['1505059PALLAC', '1505059PALLAW']",22/07/2020,31/12/2020
203,1505059PET1P,['1505059PET1FC'],01/01/2020,03/04/2020
204,1505059PET2SP,"['1505059PET2C2', '1505059PET2WG']",04/03/2020,16/10/2020
205,1505059PET3SP,"['1505059PET3C', '1505059PET3WG']",04/03/2020,16/10/2020
206,1505059PET4SP,['1505059PET4FC'],01/01/2020,07/07/2020
207,1505059PET5SP,['1505059PET5FC'],01/01/2020,07/07/2020
208,1505059PETSSP,['1505059PETSSFC'],01/01/2020,03/04/2020
209,1505059RICHRDSP,"['1505059RICHARDC', '1505059RICHRDFC']",10/02/2020,26/06/2020
210,1505059RUDDFP,['15043101'],01/01/2020,31/12/2020
211,1505059SACCOSP,['1505059SACCOFC'],01/01/2020,15/06/2020
212,1505059SANTFNSP,['1505059SANTFNFC'],01/01/2020,07/07/2020
213,1505059SANTFSSP,['1505059SANTFSFC'],01/01/2020,07/07/2020
214,1505059SMITHSP,['1505059SMITHFC'],01/01/2020,07/07/2020
215,1505059SUNEP,['1600784AR19E1'],17/02/2020,31/12/2020
216,1505059SUNWP,['1600784AR19NW1'],17/02/2020,31/12/2020
217,1505059TOMMYNSP,"['1505059TOMMYSC', '1505059TOMMYNFC']",10/02/2020,07/07/2020
218,1505059TOMMYSSP,['1505059TOMMYSC'],10/02/2020,31/12/2020
219,1505059URFRIGSP,['1505059URFRIGFC'],01/01/2020,26/06/2020
220,1505059WID12ASP,"['1505059WID12ACF', '1505059WID12AFC']",28/01/2020,07/07/2020
221,1505059WID1ASP,"['1505059WID1AC', '1505059WID1AFC']",28/01/2020,07/07/2020
222,1505059WID1BSE,['1505059WID1BFC'],01/01/2020,07/07/2020
223,1505059WID1DSP,['1505059WID1DFC'],01/01/2020,07/07/2020
224,1505059WID1ESP,['1505059WID1EFC'],01/01/2020,07/07/2020
225,1505059ZERK2SP,['1505059ZERK2WG'],01/01/2020,16/10/2020
226,1505059ZERK3SP,['1505059ZERK3WG'],01/01/2020,16/10/2020
227,1505059ZERK4FP,['1505059ZERK4GO'],22/07/2020,31/12/2020
228,1505092WH2,"['1505092WH2C', '1505092WH2RB', '1505092WH2NRB']",01/01/2020,15/02/2020
229,1505124A20,['1505124ARVIN15'],29/10/2020,31/12/2020
230,1505124ARVIN14,['1505124A18'],01/01/2020,22/06/2020
231,1505124D15,['1505124DELIS14A'],07/08/2020,31/12/2020
232,1505124D15A,['1505124DELIS14B'],07/08/2020,31/12/2020
233,1505124ED23,['1505124ED22'],07/08/2020,31/12/2020
234,1505124EYRAUD10,['1505124E17A'],01/01/2020,13/07/2020
235,1505124S17,['1505124S15'],07/08/2020,31/12/2020
236,1505124SAND14,['1505124S16'],01/01/2020,22/06/2020
237,150553216F,"['150058516F1', '150553216F1']",01/01/2020,27/07/2020
238,150553216H,['150553216H1'],27/07/2020,31/12/2020
239,150553219D,['150553219D1'],01/01/2020,27/07/2020
240,150553219E2ORG,['150553219E2ORG1'],01/01/2020,27/07/2020
241,150553219E3ORG1,['150553219E3ORG'],27/07/2020,31/12/2020
242,150553220A,"['150553220A1', '150553220AN']",01/01/2020,27/07/2020
243,150553220F1,['150553220F'],27/07/2020,31/12/2020
244,150553220G1,['150553220G'],27/07/2020,31/12/2020
245,150553221E1A,"['150553221EW2', '150553221E1UA']",27/07/2020,31/12/2020
246,150553221E2A,"['150553221E1', '150553221E2']",27/07/2020,31/12/2020
247,150553221F,['150553221F1'],01/01/2020,27/07/2020
248,150553221G,['150553221G1'],27/07/2020,31/12/2020
249,150553221H,['150553221H1'],01/01/2020,27/07/2020
250,150553228E,['150553228E1'],01/01/2020,27/07/2020
251,150553229B1,['150553229B'],27/07/2020,31/12/2020
252,150553229E,['150553229E1'],01/01/2020,27/07/2020
253,150553229H1,['150553229H'],27/07/2020,31/12/2020
254,150553230A,['150553230AN'],01/01/2020,27/07/2020
255,150553230D1,['150553230D'],27/07/2020,31/12/2020
256,150553230F1,['150553230F'],27/07/2020,31/12/2020
257,150553230G,"['150553231G1', '150553230G1']",01/01/2020,27/07/2020
258,150553232A,['150553232A1'],01/01/2020,27/07/2020
259,150553232D1,['150553232D'],27/07/2020,31/12/2020
260,1505532NMA,['1505532NMA1'],01/01/2020,27/07/2020
261,1505532NMBE,['1505532NMBE1'],01/01/2020,27/07/2020
262,1505532NMBW,['1505532NMBW1'],01/01/2020,27/07/2020
263,1505532NMCE1,['1505532NMCE'],27/07/2020,31/12/2020
264,1505532NMCW1,['1505532NMCW'],27/07/2020,31/12/2020
265,1505532NMD1,['1505532NMD'],27/07/2020,31/12/2020
266,1505532NMMNORG,['1505532NMMNORG1'],01/01/2020,27/07/2020
267,1505532NMMSORG1,['1505532NMMSORG'],27/07/2020,31/12/2020
268,1505532SMB1,['1505532SMB'],27/07/2020,31/12/2020
269,1505532SMH,['1505532SMH1'],01/01/2020,27/07/2020
