model,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,brier_mean,n_pos,n_neg,pr_auc_no_skill
baseline_lr,0.1961,0.0394,0.8071,0.0306,0.1721,115,3752,0.0297
booster,0.1633,0.0640,0.8098,0.0398,0.0806,115,3752,0.0297
