PMT_SITE,event,p_desiccation
1500635WERN4P,0,0.0000
1500635WN80P,0,0.0000
15008241KPSP20,0,0.0037
15008242PS20,0,0.0081
15008243KPSP20,0,0.0002
1501361071120JP,0,0.0002
1501361071220JP,0,0.0002
15022770621SP,0,0.0507
15022770820SP,0,0.0002
15022771020SP,0,0.0026
15022771021SP,0,0.0026
15022771821FP,0,0.0507
15022772820SP,0,0.0002
1504213P3,0,0.0507
1504311208WPO,0,0.0002
1504311211PO,0,0.0000
1504498SDSP,0,0.0286
1504512STOCKWP,0,0.0002
1504548PZ,0,0.0002
1504548RP,0,0.0002
1504548SP1,0,0.0142
1504548SP2,0,0.0086
15046771PS20,0,0.0024
1505059AGRO5NP,0,0.0002
1505059AGRO5SP,0,0.0002
1505059BOCKSP,0,0.0026
1505059KIMSP,0,0.0138
1505059PET1SP,0,0.0507
1505059PET3SP,0,0.0002
1505059PET4SP,0,0.0002
1505059PET5SP,0,0.0002
1505059SMITHSP,0,0.0192
1505059TOMMYSSP,0,0.2162
1505059TOMYEFP,0,0.0507
1505124D15,0,0.0507
1505124D15A,0,0.0507
1505124EYRAUD10,0,0.0002
1505124RICO16A,0,0.0000
150553216F,0,0.0002
150553219D,0,0.0082
150553220A,0,0.0002
150553221H,0,0.0002
150553228E,0,0.0037
150553229E,0,0.0082
150553230G,0,0.0012
150553232A,0,0.0026
1505532NMA,0,0.0195
1505532NMBE,0,0.0058
1505532NMBW,0,0.0026
1505532SMH,0,0.0072
150559121SK15FA,0,0.0507
150559122GN04GA,0,0.0507
150559122GN08GA,0,0.0507
150559122GN15GA,0,0.0507
1500635DUDANP,1,0.3384
