PMT_SITE,p_treated_max,p_treated_mean,n_windows,any_treated
1500635WERN2P,1.0000,1.0000,1,1
1500635WERN3P,0.9051,0.9051,1,1
1500635WERN4P,0.9792,0.9792,1,1
1500635WN80P,0.9188,0.9188,1,1
15008241KPSP20,0.1930,0.1930,1,0
15008241PF20,0.2500,0.2500,1,0
15008242PS20,0.2317,0.2317,1,0
15008243KPSP20,0.2778,0.2778,1,0
1500915121P,1.0000,1.0000,1,1
1500915123E,0.9792,0.9792,1,1
1500915123WP,1.0000,1.0000,1,1
1500915124E,1.0000,1.0000,1,1
1501361071120JP,1.0000,1.0000,1,1
1501361071220JP,1.0000,1.0000,1,1
1501361071721PO,0.9479,0.9479,1,1
15022770121SP,0.8146,0.8146,1,1
15022770221SP,0.9792,0.9792,1,1
15022770320SC,0.9479,0.9479,1,1
15022770421FP,0.8076,0.5003,2,1
15022770621SP,0.9792,0.8227,2,1
15022770721SP,0.8710,0.8710,1,1
15022770820SP,0.9265,0.9265,1,1
15022770920SP,0.8182,0.8182,1,1
15022771020SP,1.0000,1.0000,1,1
15022771021SP,1.0000,1.0000,1,1
1502277120FP,1.0000,1.0000,1,1
15022771820FP,0.7903,0.7903,1,1
15022771821FP,0.8146,0.4073,2,1
15022772820SP,1.0000,1.0000,1,1
15022772921FP,0.7903,0.7903,1,1
15022774721FP,0.8368,0.8368,1,1
15022774921FP,0.9188,0.9188,1,1
15022776021FP,0.9479,0.9479,1,1
15022776320FP,1.0000,1.0000,1,1
15022776821FP,0.7118,0.7118,1,1
1502300309PO,0.0000,0.0000,1,0
1502300312WPO,0.0000,0.0000,1,0
1504213P2,0.0000,0.0000,1,0
1504213P3,0.0000,0.0000,2,0
1504213P3P,0.8076,0.8076,1,1
1504213P4,0.0000,0.0000,1,0
1504311203PO,0.3021,0.3021,1,0
1504311205PO,0.1042,0.1042,1,0
1504311207PO,0.2222,0.2222,1,0
1504311208WPO,0.9479,0.9479,1,1
1504311211PO,0.9201,0.9201,1,1
1504311212PO,0.2000,0.2000,1,0
150449844AC,0.9778,0.9778,1,1
1504498DUFFWP,0.9792,0.9792,1,1
1504498ORAN80P,0.8710,0.8710,1,1
1504498ORANG80P,1.0000,1.0000,1,1
1504498SDSP,1.0000,0.9896,2,1
1504512STOCKWP,1.0000,1.0000,1,1
15045481H,0.9132,0.9132,1,1
15045484P,0.9688,0.4844,2,1
1504548PM1,1.0000,1.0000,1,1
1504548PPF,0.6840,0.6840,1,1
1504548PZ,0.9792,0.9792,1,1
1504548RP,0.1111,0.1111,1,0
1504548SP1,0.9188,0.9188,1,1
1504548SP2,0.8403,0.8403,1,1
15046771PS20,0.9211,0.9211,1,1
15046771PS21,0.8738,0.8738,1,1
15046772PS21,0.9688,0.9688,1,1
1505059AGRO1SP,1.0000,0.9705,2,1
1505059AGRO2FP,0.7118,0.4591,2,1
1505059AGRO3SP,1.0000,1.0000,1,1
1505059AGRO4SP,1.0000,0.9896,2,1
1505059AGRO5NP,0.9265,0.9265,1,1
1505059AGRO5SP,0.9444,0.8760,2,1
1505059AGRO6SP,0.3601,0.3601,1,0
1505059BOCKSP,0.9410,0.9284,2,1
1505059BRIMHLSP,0.8924,0.8924,1,1
1505059BRIMSP,0.9259,0.9259,1,1
1505059CATANSSP,0.7118,0.7118,1,1
1505059CATASSP,0.2890,0.2890,1,0
1505059CATNFP,0.8710,0.4355,2,1
1505059CATTANI,0.2000,0.2000,1,0
1505059CHARLSP,1.0000,1.0000,1,1
1505059COTWODSP,0.1667,0.1667,1,0
1505059COULTRSP,0.9410,0.9410,1,1
1505059COULTSP,0.9792,0.9792,1,1
1505059DELISSP,0.8988,0.8988,1,1
1505059ENGLE,0.0833,0.0833,1,0
1505059ENGLEFP,1.0000,0.5521,2,1
1505059F50SP,1.0000,0.9896,2,1
1505059FOPPFP,0.9007,0.9007,1,1
1505059FUG10SP,0.9722,0.9722,1,1
1505059FUG11SP,1.0000,1.0000,1,1
1505059FUG12FP,0.0000,0.0000,1,0
1505059FUG12SP,0.9722,0.9722,1,1
1505059FUG13FP,0.0000,0.0000,1,0
1505059FUG13SP,1.0000,1.0000,1,1
1505059FUG14PS,0.4476,0.4476,1,0
1505059FUG14SP,0.9688,0.8734,2,1
1505059FUG1FP,0.1042,0.1042,1,0
1505059FUG1SP,1.0000,1.0000,1,1
1505059FUG2FP,0.8076,0.4454,2,1
1505059FUG3FP,0.2000,0.2000,1,0
1505059FUG6SP,1.0000,1.0000,1,1
1505059FUG7SP,0.9722,0.9722,1,1
1505059FUG8SP,1.0000,0.6404,2,1
1505059FUG9SP,1.0000,1.0000,1,1
