PMT_SITE,window,year,treated,p_treated,cluster_kmeans,cluster_gmm,anomaly_if,anomaly_lof,unsup_risk
1505059SANTFSSP,1,2021,1,0.9006,1,0,0.3878,1.0292,0.7085
1505059SMITHSP,0,2020,0,0.2778,0,0,0.4089,1.1250,0.7670
1505059SVS120FP,0,2021,0,0.1042,0,1,0.5581,2.2385,1.3983
1505059SVS80SP,0,2021,1,1.0000,1,0,0.3925,1.0337,0.7131
1505059TOMMYNSP,0,2020,1,1.0000,1,0,0.3644,0.9921,0.6782
1505059TOMMYSSP,0,2020,1,0.9792,1,0,0.3718,0.9956,0.6837
1505059TOMYEFP,0,2020,0,0.0000,0,1,0.5646,1.5328,1.0487
1505059TOMYEFP,1,2021,0,0.0000,0,0,0.4685,1.0724,0.7704
1505059URFRIGSP,0,2020,1,0.8947,1,0,0.3661,0.9956,0.6809
1505059URFRIGSP,1,2021,1,0.8368,1,0,0.3959,1.1234,0.7597
1505059WID12ASP,0,2020,1,1.0000,1,0,0.3774,1.0444,0.7109
1505059WID12ASP,1,2021,1,0.9479,1,0,0.3751,1.0241,0.6996
1505059WID1ASP,0,2020,1,0.9792,1,0,0.3851,1.0632,0.7241
1505059WID1ASP,1,2021,1,0.9259,1,0,0.3665,0.9957,0.6811
1505124D15,0,2020,0,0.0833,0,1,0.5206,2.5093,1.5150
1505124D15A,0,2020,0,0.0833,0,1,0.5338,2.6219,1.5778
1505124D17A,0,2021,1,0.7903,0,1,0.5437,1.4835,1.0136
1505124D17B,0,2021,1,0.8146,0,1,0.5273,1.3911,0.9592
1505124ED23,0,2020,1,0.9211,0,1,0.5535,1.9696,1.2615
1505124ED23A,0,2021,1,0.9514,1,0,0.3887,1.0115,0.7001
1505124ED23B,0,2021,1,1.0000,1,0,0.3992,1.0156,0.7074
1505124EYRAUD10,0,2020,1,0.9722,1,0,0.3841,1.0572,0.7207
1505124RICO16A,1,2020,1,0.8924,0,1,0.5105,1.9271,1.2188
1505124S17,0,2020,1,0.9514,0,1,0.5566,1.7589,1.1577
150553216F,0,2020,1,0.9792,1,0,0.3759,1.0583,0.7171
150553216H,1,2021,1,0.9792,1,0,0.4009,1.0793,0.7401
150553219D,0,2020,1,0.9974,1,0,0.3701,0.9849,0.6775
150553220A,0,2020,1,1.0000,1,0,0.3576,0.9567,0.6571
150553220F1,1,2021,1,1.0000,1,0,0.3605,0.9724,0.6665
150553220G1,1,2021,1,1.0000,1,0,0.3723,0.9844,0.6784
150553221E1A,1,2021,1,0.9792,1,0,0.3833,0.9988,0.6911
150553221E2A,1,2021,1,0.9792,1,0,0.3727,0.9965,0.6846
150553221F,0,2020,1,0.9236,1,0,0.3791,1.0831,0.7311
150553221G,1,2021,1,1.0000,1,0,0.3627,0.9800,0.6713
150553221H,0,2020,1,1.0000,1,0,0.3599,0.9775,0.6687
150553228E,0,2020,1,1.0000,1,0,0.3652,1.0513,0.7083
150553229B1,1,2021,1,1.0000,1,0,0.3809,1.0089,0.6949
150553229E,0,2020,1,1.0000,1,0,0.3612,0.9752,0.6682
150553229H1,1,2021,1,1.0000,1,0,0.3749,1.0000,0.6875
150553230A,0,2020,1,1.0000,1,0,0.3599,0.9712,0.6656
150553230D1,1,2021,1,1.0000,1,0,0.3549,0.9708,0.6629
150553230F1,1,2021,1,0.9444,1,0,0.3633,0.9820,0.6726
150553230G,0,2020,1,1.0000,1,0,0.3659,1.0204,0.6932
150553232A,0,2020,1,1.0000,1,0,0.3608,1.0132,0.6870
150553232D1,1,2021,1,0.9514,1,0,0.3552,0.9604,0.6578
1505532NMA,0,2020,1,1.0000,1,0,0.3693,1.0142,0.6918
1505532NMBE,0,2020,1,1.0000,1,0,0.3786,1.1057,0.7422
1505532NMBW,0,2020,1,1.0000,1,0,0.3717,0.9977,0.6847
1505532NMCE1,1,2021,1,0.9479,1,0,0.3635,0.9803,0.6719
1505532NMCW1,1,2021,1,0.9792,1,0,0.3616,0.9854,0.6735
1505532NMD1,1,2021,1,1.0000,1,0,0.3596,0.9796,0.6696
1505532SMB1,1,2021,1,0.9688,1,0,0.3609,0.9812,0.6710
1505532SMH,0,2020,1,0.9688,1,0,0.3693,0.9977,0.6835
150559121GN02GA,0,2021,1,1.0000,1,1,0.5824,1.5956,1.0890
150559121GN06GA,0,2021,1,0.9792,1,1,0.5391,1.9826,1.2608
150559121KV07GA,0,2021,1,1.0000,1,1,0.5598,1.6489,1.1044
150559121KZ73GA,0,2021,1,1.0000,1,1,0.5781,1.6223,1.1002
150559121SK15FA,0,2020,0,0.0667,0,1,0.5250,2.3195,1.4223
150559121SK15FA,1,2021,0,0.2807,0,1,0.5244,2.7720,1.6482
150559121SK15FA,2,2022,0,0.2000,1,1,0.5047,1.5771,1.0409
150559122GN04GA,0,2020,0,0.0833,0,1,0.5418,2.1316,1.3367
150559122GN04GA,1,2021,0,0.0833,1,1,0.4645,1.4973,0.9809
150559122GN08GA,0,2020,0,0.0000,0,1,0.5928,1.5794,1.0861
150559122GN15GA,0,2020,0,0.0833,0,1,0.6421,1.7859,1.2140
150559122GN15GA,1,2021,0,0.1042,1,1,0.5689,1.6613,1.1151
