PMT_SITE,window,year,treated,p_treated,cluster_kmeans,cluster_gmm,anomaly_if,anomaly_lof,unsup_risk
1500553163A,0,2020,1,1.0000,1,0,0.3890,1.0079,0.6985
1500553163P1,0,2020,1,0.9479,1,0,0.3560,0.9761,0.6661
1500553164P1,0,2021,1,1.0000,1,0,0.3786,1.0067,0.6927
1500553164PA,0,2020,1,0.9792,1,0,0.3771,1.0439,0.7105
1500553171,0,2020,1,1.0000,1,0,0.3737,1.0160,0.6949
1500553173,0,2021,1,0.7743,1,0,0.3851,1.0687,0.7269
1500555331P,0,2020,1,0.9792,0,1,0.5436,2.1804,1.3620
1500555332,1,2021,1,1.0000,1,0,0.3805,1.0186,0.6996
150062471C,1,2021,0,0.1930,0,1,0.5128,1.9945,1.2537
150062910A,0,2019,0,0.0000,0,1,0.5728,1.4437,1.0083
150062910A,1,2020,1,0.9222,1,0,0.3976,1.0217,0.7096
150062910A,2,2021,0,0.1042,1,1,0.5555,1.9214,1.2384
150062910B,1,2021,1,0.9479,1,1,0.4644,1.1795,0.8220
150062910C,1,2021,1,0.9792,1,1,0.4440,1.1579,0.8009
150062915A,0,2020,1,0.9792,1,0,0.3823,1.0643,0.7233
150062915B,0,2020,1,0.9792,1,0,0.3909,1.0745,0.7327
150062915D,0,2020,1,0.9201,1,0,0.3918,1.1347,0.7633
15006291A,1,2020,0,0.1111,1,1,0.5294,2.0113,1.2703
15006291A,2,2021,0,0.1042,1,1,0.5610,2.1370,1.3490
15006293A,1,2021,1,0.9444,1,1,0.4756,1.1746,0.8251
15006294B,0,2020,1,1.0000,1,0,0.4153,1.1763,0.7958
15006295B,0,2020,1,0.9792,1,0,0.3963,1.0730,0.7347
15006296C,0,2020,1,1.0000,1,0,0.3883,1.0546,0.7214
15006296D,0,2020,1,1.0000,1,0,0.3985,1.0632,0.7309
15006297A,1,2021,1,0.9500,1,0,0.3948,1.0233,0.7091
15006297C,1,2021,1,1.0000,1,0,0.4093,1.1783,0.7938
15006297E,1,2021,1,0.9236,1,0,0.4063,1.1756,0.7909
15006297E1,1,2020,0,0.1042,1,1,0.5340,2.3211,1.4275
15006297F,1,2021,1,1.0000,1,1,0.4828,1.1866,0.8347
